experiment,n,time,repetitions,Gflops/s,GByte/s
vanilla, 100, 1.25039, 1, 8.15742, 65.2594
vanilla, 150, 3.3517, 1, 6.84727, 54.7781
vanilla, 200, 6.86669, 1, 5.94173, 47.5338
vanilla, 250, 11.1618, 1, 5.71144, 45.6915
vanilla, 300, 16.3188, 1, 5.62542, 45.0034
vanilla, 350, 23.206, 1, 5.38439, 43.0751
vanilla, 400, 33.9796, 1, 4.80288, 38.4231
vanilla, 500, 55.1133, 1, 4.62684, 37.0147
omp parllel, 100, 0.392177, 1, 26.0087, 208.069
omp parllel, 150, 1.01184, 1, 22.6814, 181.451
omp parllel, 200, 2.20698, 1, 18.4868, 147.894
omp parllel, 250, 4.78599, 1, 13.3201, 106.561
omp parllel, 300, 7.16683, 1, 12.809, 102.472
omp parllel, 350, 10.1349, 1, 12.3287, 98.6294
omp parllel, 400, 13.3805, 1, 12.1969, 97.5751
omp parllel, 500, 21.8596, 1, 11.6653, 93.3227
