Stencil Size: 30, 
experiment,n,time,iterations,repetitions,Gflops/s,GByte/s
Vanilla, 50, 3.16646, 100, 1, 1.17481, 9.3985
Vanilla, 100, 18.3996, 100, 1, 0.808714, 6.46971
Vanilla, 150, 47.6258, 100, 1, 0.70298, 5.62384
Vanilla, 200, 89.6498, 100, 1, 0.663917, 5.31133
Vanilla, 250, 144.462, 100, 1, 0.64377, 5.15016
Vanilla, 300, 212.086, 100, 1, 0.631443, 5.05154
Vanilla, 350, 292.188, 100, 1, 0.623844, 4.99075
Vanilla, 400, 384.964, 100, 1, 0.618447, 4.94758
Vanilla, 500, 608.232, 100, 1, 0.611609, 4.89287
Vanilla, 800, 1576.72, 100, 1, 0.60399, 4.83192
